,oscarNoms,oscarWins,goldenGlobeNoms,goldenGlobWins,grammyNoms,grammyWins,tonyNoms,tonyWins,sagNoms,sagWins,razNoms,razWins
Denzel Washington,9,2,9,2,1,0,2,1,7,1,0,0
Will Smith,2,0,5,0,8,4,0,0,1,0,7,4
